,carat,cut,color,clarity,depth,table,price,x,y,z
1389,0.24,Ideal,G,VVS1,62.1,56.0,559,3.97,4.0,2.47
50053,0.58,Very Good,F,VVS2,60.0,57.0,2201,5.44,5.42,3.26
41646,0.4,Ideal,E,VVS2,62.1,55.0,1238,4.76,4.74,2.95
42378,0.43,Premium,E,VVS2,60.8,57.0,1304,4.92,4.89,2.98
17245,1.55,Ideal,E,SI2,62.3,55.0,6901,7.44,7.37,4.61
1609,1.0,Fair,E,SI2,55.4,62.0,3011,6.63,6.59,3.66
46399,0.51,Ideal,F,VS1,60.2,56.0,1765,5.22,5.24,3.15
45494,0.52,Ideal,D,VS2,62.0,56.0,1679,5.17,5.19,3.21
49386,0.62,Premium,E,VS2,60.0,59.0,2102,5.58,5.56,3.34
10461,1.14,Ideal,H,SI1,60.3,57.0,4789,6.79,6.85,4.11
34244,0.4,Ideal,D,SI2,62.8,56.0,855,4.73,4.7,2.96
24773,1.83,Very Good,E,SI2,62.8,56.0,13134,7.76,7.82,4.89
42988,0.6,Fair,F,SI1,55.3,63.0,1367,5.67,5.61,3.12
51712,0.7,Very Good,F,SI1,63.5,56.0,2401,5.58,5.66,3.57
43778,0.53,Good,H,IF,61.2,65.0,1440,5.16,5.27,3.19
22233,1.55,Ideal,I,VS1,61.2,55.0,10286,7.49,7.47,4.58
1320,0.98,Fair,F,SI2,61.6,66.0,2958,6.46,6.24,3.92
43220,0.4,Ideal,E,VVS1,62.6,56.0,1397,4.73,4.7,2.95
21844,1.5,Very Good,F,SI1,62.8,56.0,9904,7.26,7.33,4.58
53627,0.35,Very Good,I,VS1,60.7,62.0,552,4.53,4.59,2.77
27498,2.07,Premium,I,VS2,61.2,58.0,18193,8.18,8.2,5.01
36555,0.4,Premium,E,SI1,60.9,60.0,945,4.77,4.75,2.9
21056,0.31,Ideal,F,VS2,61.9,55.0,625,4.31,4.35,2.68
23029,0.3,Ideal,H,VVS2,61.7,54.2,631,4.32,4.35,2.67
5537,0.91,Ideal,H,SI2,60.6,57.0,3854,6.3,6.26,3.81
43435,0.53,Ideal,E,SI1,61.4,56.0,1415,5.21,5.24,3.21
38523,0.34,Ideal,E,VS1,60.8,57.0,1033,4.53,4.49,2.74
24965,2.02,Ideal,F,SI2,62.7,57.0,13453,8.07,7.93,5.03
19772,1.04,Ideal,D,VS1,59.1,56.0,8341,6.65,6.59,3.91
40272,0.23,Ideal,F,VS2,61.8,55.0,493,3.93,3.96,2.43
8474,1.01,Ideal,F,SI2,62.5,55.0,4416,6.39,6.4,4.0
43497,0.54,Premium,E,SI1,61.4,60.0,1422,5.21,5.25,3.21
23559,2.01,Very Good,J,SI1,63.4,57.0,11566,7.97,7.89,5.03
46751,0.51,Good,G,VVS2,63.3,58.0,1800,5.04,5.07,3.2
49728,0.5,Very Good,F,VVS2,62.8,55.0,2153,5.0,5.13,3.18
34923,0.3,Ideal,J,VS1,62.6,53.0,373,4.28,4.32,2.69
31850,0.3,Ideal,F,VS2,60.9,56.0,776,4.35,4.32,2.64
47713,0.5,Very Good,G,VVS1,63.3,53.0,1885,5.06,5.09,3.21
48447,0.51,Very Good,G,VVS2,63.1,58.0,1974,5.11,5.07,3.21
27597,2.09,Premium,H,VS2,62.2,58.0,18443,8.17,8.12,5.06
50091,0.62,Ideal,G,VS1,60.7,55.0,2206,5.55,5.59,3.38
45997,0.53,Very Good,D,SI1,60.0,59.8,1724,5.25,5.26,3.15
34231,0.4,Premium,E,SI2,61.4,59.0,855,4.75,4.7,2.9
26269,2.0,Very Good,H,SI1,62.2,57.0,15745,7.97,8.08,4.99
1633,0.7,Ideal,E,VS1,62.7,57.0,3016,5.65,5.7,3.56
30201,0.42,Good,F,SI1,63.1,56.0,722,4.79,4.82,3.03
24573,1.6,Ideal,F,SI1,61.0,57.0,12871,7.54,7.6,4.62
23578,1.5,Premium,F,SI1,61.4,59.0,11588,7.34,7.31,4.5
27240,2.52,Good,G,SI2,63.7,59.0,17608,8.57,8.52,5.44
18520,1.35,Very Good,H,VS2,62.3,57.0,7549,7.06,7.12,4.42
