"","carat","cut","color","clarity","depth","table","price","x","y","z"
"17670",1.59,"Premium","F","SI2",62.2,58,7123,7.49,7.45,4.64
"30771",0.33,"Very Good","F","VS1",62.7,59,741,4.35,4.39,2.74
"10293",1.2,"Very Good","D","SI2",63.5,59,4758,6.61,6.56,4.18
"1989",0.9,"Premium","H","SI1",62.4,56,3095,6.13,6.05,3.8
"51230",0.72,"Premium","G","SI1",62.8,60,2352,5.78,5.68,3.6
"15877",1.4,"Ideal","J","SI1",62.1,57,6350,7.17,7.14,4.44
"30965",0.37,"Ideal","F","SI1",61.6,56,746,4.61,4.65,2.85
"53198",0.7,"Ideal","E","VS2",62.1,57,2633,5.68,5.73,3.54
"53290",0.35,"Good","H","VS2",63.7,57,552,4.48,4.53,2.87
"2433",1.11,"Premium","I","I1",61.8,59,3183,6.65,6.58,4.09
"12692",0.26,"Very Good","E","VVS2",61.7,60,599,4.11,4.12,2.54
"41045",0.54,"Ideal","G","SI1",61.7,55,1187,5.24,5.27,3.24
"11420",0.9,"Very Good","E","VS1",62.3,56,5001,6.1,6.19,3.83
"32829",0.35,"Ideal","F","VVS2",61.3,55,806,4.57,4.6,2.81
"18486",1.31,"Premium","H","SI1",62.4,58,7527,7.02,6.96,4.36
"31459",0.4,"Premium","J","VS2",60.9,62,765,4.76,4.73,2.89
"48613",0.51,"Ideal","F","VVS2",61.9,56,1998,5.13,5.15,3.18
"12613",1.02,"Very Good","G","SI1",61.3,56,5291,6.43,6.53,3.97
"25116",1.78,"Very Good","F","SI1",60.6,57,13659,7.89,7.94,4.8
"14987",1,"Premium","H","VVS2",60.3,59,6037,6.46,6.41,3.88
"10047",0.31,"Very Good","I","SI1",62.8,60,418,4.29,4.31,2.7
"42872",0.43,"Ideal","F","VVS1",62.1,55,1358,4.81,4.85,3
"37588",0.44,"Ideal","G","SI1",62.7,57,990,4.85,4.82,3.03
"30287",0.34,"Very Good","F","SI2",63,58,447,4.45,4.47,2.81
"28209",0.4,"Good","I","VS2",63.8,54,666,4.68,4.72,3
"18707",0.27,"Very Good","E","VVS2",62,59,620,4.14,4.18,2.58
"13587",1.05,"Premium","F","SI1",61.6,57,5557,6.56,6.53,4.03
"1553",0.73,"Fair","F","VS1",58.6,66,3002,5.92,5.88,3.46
"12972",1.02,"Very Good","H","VS2",60.6,60,5393,6.55,6.48,3.95
"16276",1.23,"Ideal","G","SI1",61.4,56,6509,6.94,6.91,4.25
"24553",1.28,"Ideal","F","VVS2",62.2,56,12841,6.95,6.91,4.32
"23524",1.38,"Ideal","G","VS1",62.2,54,11527,7.18,7.14,4.45
"46623",0.3,"Ideal","H","VS1",61.6,55,526,4.27,4.3,2.64
"47806",0.64,"Premium","F","SI1",60.1,60,1901,5.62,5.57,3.36
